pid,fgxp,fkicker,dist,good
663738,XP,JM-7000,33,1
663747,FG,CB-0700,47,1
663765,XP,CB-0700,33,1
663789,XP,JM-7000,33,1
663824,XP,ZH-0150,33,1
663846,XP,CS-4250,33,1
663881,FG,CS-4250,39,1
663894,FG,ZH-0150,21,1
663906,XP,CS-4250,33,1
663910,XP,CS-4250,33,0
663926,FG,CS-4250,29,1
663942,FG,CS-4250,26,1
663957,FG,CS-4250,41,1
663962,XP,CS-4250,33,1
663978,XP,ZH-0150,33,1
663996,XP,JT-3950,33,1
664007,FG,TC-2450,43,1
664015,XP,JT-3950,33,1
664044,FG,TC-2450,43,1
664053,FG,JT-3950,51,0
664061,FG,TC-2450,37,1
664079,XP,JT-3950,33,1
664096,XP,TC-2450,33,1
664150,FG,JT-3950,23,1
664172,FG,TC-2450,32,1
664185,XP,MC-3000,33,1
664217,XP,MC-3000,33,1
664238,XP,GZ-2000,33,1
664255,FG,GZ-2000,42,1
664269,XP,MC-3000,33,1
664288,FG,GZ-2000,50,0
664297,FG,GZ-2000,53,0
664325,FG,GZ-2000,63,0
664333,FG,MC-3000,35,1
664381,FG,RS-3400,21,1
664436,XP,RS-3400,33,1
664448,XP,DC-0500,33,1
664463,FG,RS-3400,41,1
664475,XP,DC-0500,33,1
664521,XP,MP-2100,33,1
664528,XP,CC-1150,33,1
664539,XP,CC-1150,33,1
664558,XP,CC-1150,33,1
664567,XP,CC-1150,33,1
664595,XP,CC-1150,33,1
664622,FG,MP-2100,40,1
664627,XP,CC-1150,33,1
664663,XP,MP-2100,33,1
664686,FG,SG-0800,49,1
664700,FG,DB-0200,51,1
664732,XP,SG-0800,33,1
664749,FG,SG-0800,57,1
664763,XP,SG-0800,33,1
664781,FG,DB-0200,23,1
664789,XP,SG-0800,33,1
664812,FG,SG-0800,34,1
664856,FG,SJ-0300,38,0
664864,FG,BM-1650,25,1
664874,XP,SJ-0300,33,1
664912,FG,BM-1650,20,1
664923,FG,BM-1650,52,1
664942,FG,SJ-0300,40,0
664961,XP,BM-1650,33,1
664982,FG,SJ-0300,50,1
664996,FG,PD-0200,43,1
665006,FG,JB-7100,22,1
665030,XP,JB-7100,33,1
665048,FG,JB-7100,41,1
665061,FG,PD-0200,22,1
665089,XP,PD-0200,33,1
665108,XP,JB-7100,33,1
665122,XP,PD-0200,33,1
665138,FG,JB-7100,24,1
665148,XP,PD-0200,33,1
665159,XP,JB-7100,33,1
665176,XP,JL-0207,33,1
665220,FG,CB-2275,47,1
665240,FG,JL-0207,60,0
665270,XP,CB-2275,33,1
665279,FG,JL-0207,40,1
665297,XP,JL-0207,33,1
665300,XP,CB-2275,33,1
665313,FG,JL-0207,54,1
665327,XP,CB-2275,33,1
665341,XP,ZH-0150,33,1
665358,XP,ZH-0150,33,1
665369,XP,MB-4600,33,1
665408,FG,ZH-0150,51,0
665431,FG,ZH-0150,31,1
665448,XP,ZH-0150,33,1
665461,XP,MB-4600,33,1
665474,XP,ZH-0150,33,1
665484,FG,ZH-0150,48,0
665496,XP,MB-4600,33,1
665518,XP,DH-3970,33,1
665531,XP,NF-0300,33,1
665547,FG,NF-0300,35,1
665571,FG,DH-3970,54,1
665584,FG,DH-3970,30,1
665593,FG,NF-0300,39,1
665598,XP,NF-0300,33,1
665610,XP,NF-0300,33,1
665627,XP,NF-0300,33,1
665638,FG,NF-0300,49,0
665658,XP,DH-3970,33,1
665685,XP,CC-1150,33,1
665720,FG,CC-1150,47,0
665727,FG,CB-2275,47,1
665742,FG,CC-1150,31,1
665756,FG,CB-2275,48,1
665780,FG,CB-2275,51,1
665787,FG,CC-1150,39,1
665801,FG,CB-2275,28,1
665815,XP,CB-2275,33,1
665850,FG,BW-0350,24,1
665886,XP,BW-0350,33,1
665920,FG,BW-0350,45,1
665946,FG,CS-0250,48,1
665959,XP,CS-0250,33,1
665970,FG,BW-0350,45,1
665998,XP,DC-0500,33,1
666015,XP,MN-0800,33,1
666036,XP,MN-0800,33,1
666045,FG,MN-0800,47,1
666063,XP,DC-0500,33,1
666075,XP,MN-0800,33,1
666098,XP,MN-0800,33,1
666114,FG,MN-0800,39,1
666125,XP,DC-0500,33,1
666158,XP,MP-2100,33,1
666169,FG,RG-1500,27,1
666186,XP,RG-1500,33,1
666195,XP,MP-2100,33,1
666207,FG,RG-1500,23,1
666221,XP,MP-2100,33,1
666250,FG,RG-1500,38,1
666259,FG,MP-2100,39,1
666271,XP,RG-1500,33,1
666299,FG,MP-2100,32,1
666311,XP,MP-2100,33,1
666316,FG,RG-1500,29,1
666346,FG,MP-2100,27,1
666374,FG,BM-1650,29,1
666385,XP,BM-1650,33,1
666422,FG,BM-1650,51,0
666436,XP,TC-2450,33,1
666460,FG,BM-1650,25,1
666474,FG,BM-1650,39,1
666484,XP,TC-2450,33,1
666493,XP,BM-1650,33,1
666515,FG,TC-2450,26,1
666552,FG,BM-1650,34,1
666587,XP,NN-0200,33,1
666604,XP,JM-7000,33,1
666615,FG,NN-0200,41,1
666676,XP,JM-7000,33,1
666687,XP,NN-0200,33,1
666698,XP,NN-0200,33,1
666701,XP,NN-0200,33,1
666717,XP,JM-7000,33,0
666746,XP,AF-1150,33,1
666757,FG,RS-3400,37,1
666770,FG,AF-1150,30,1
666795,XP,AF-1150,33,1
666840,XP,AF-1150,33,1
666855,XP,RS-3400,33,1
666872,XP,AF-1150,33,1
666888,XP,AF-1150,33,1
666923,FG,SH-0400,30,1
666940,XP,GG-0100,33,1
666954,XP,SH-0400,33,1
666991,XP,SH-0400,33,1
666998,FG,SH-0400,50,1
667011,XP,GG-0100,33,1
667028,FG,SH-0400,43,1
667048,XP,GG-0100,33,0
667065,XP,GG-0100,33,1
667088,XP,MC-3000,33,1
667103,FG,JL-0207,36,1
667111,XP,MC-3000,33,1
667136,FG,MC-3000,23,1
667159,XP,JL-0207,33,1
667174,XP,JL-0207,33,1
667200,XP,MC-3000,33,1
667211,FG,JL-0207,32,1
667233,FG,MC-3000,28,1
667268,FG,PD-0200,53,1
667282,FG,PD-0200,31,1
667293,FG,JT-3950,22,1
667297,XP,PD-0200,33,1
667308,FG,PD-0200,26,1
667318,FG,JT-3950,36,1
667347,FG,PD-0200,42,1
667359,XP,JT-3950,33,1
667372,FG,JT-3950,45,0
667396,XP,JT-3950,33,1
667430,XP,AV-0400,33,1
667443,XP,SG-0800,33,1
667459,FG,SG-0800,40,1
667469,XP,AV-0400,33,1
667475,XP,SG-0800,33,1
667490,XP,AV-0400,33,1
667503,FG,SG-0800,35,1
667514,XP,SG-0800,33,1
667549,XP,SG-0800,33,1
667595,XP,AV-0400,33,0
667610,XP,JB-7100,33,1
667633,XP,CS-4250,33,1
667651,XP,CS-4250,33,1
667697,FG,CS-4250,37,1
667724,XP,CS-4250,33,1
667759,FG,CS-4250,39,1
667796,XP,SH-0400,33,1
667824,FG,SH-0400,49,1
667842,XP,SH-0400,33,1
667883,FG,PD-0200,35,1
667896,FG,SH-0400,46,1
667947,FG,DC-0500,31,1
667969,XP,JM-7000,33,1
667975,XP,JM-7000,33,1
667978,XP,JM-7000,33,1
667987,XP,JM-7000,33,0
668001,XP,DC-0500,33,1
668014,FG,DC-0500,38,1
668050,FG,DC-0500,26,1
668087,XP,DC-0500,33,1
668098,XP,JM-7000,33,1
668117,XP,CB-0700,33,1
