olid,lt,lg,c,rg,rt
1531,JW-1400,EW-1000,RG-0500,GC-0300,JS-1400
1532,NP-0400,DC-3000,RO-0300,AS-2700,BM-0360
1533,DB-4900,WS-0700,CM-3600,BJ-1950,RH-1000
1534,MS-4400,MP-1900,DL-0800,RF-0900,KB-0750
1535,CG-1250,AL-0700,DS-3150,KU-0200,SY-0100
1536,MR-1700,FV-0100,KM-0600,DL-2400,MO-0400
1537,JG-3900,AS-0940,GH-0200,DH-3500,BB-1600
1538,MS-4400,WC-0200,MP-1900,RF-0900,KB-0750
1539,KH-0900,RH-0100,NH-0200,LV-0100,RW-1500
1540,JM-1130,RI-0100,MP-2000,JJ-2100,NG-0100
1541,MN-0400,ED-0500,JS-0600,JS-3500,DB-0750
1542,JW-1400,JB-6650,RG-0500,GC-0300,JS-1400
1543,MN-0400,TL-0300,JS-0600,JS-3500,DB-0750
1544,EM-1300,AP-0370,BM-1900,UN-0100,CB-2400
1545,MO-0200,JR-1500,MB-2400,BW-1800,KO-0750
1546,JB-8200,BG-2200,BD-0800,JE-1000,WR-0700
1547,NP-0400,DC-3000,AS-2700,PM-0600,BM-0360
1548,JG-3900,AS-0940,JB-8600,GW-1100,BB-1600
1549,MS-4400,RF-0900,MP-1900,DD-0750,KB-0750
1550,RS-0100,RT-2000,SW-0800,SS-1900,BR-0300
1551,CG-1250,AL-0700,EW-1600,KU-0200,SY-0100
1552,TW-2800,KL-1000,WM-0800,CC-1700,MH-3800
1553,EM-1300,AP-0370,BM-1900,UN-0100,GW-0700
1554,MR-1700,MP-1100,FV-0100,DL-2400,BS-3900
1555,MN-0400,TL-0300,ED-0500,JS-3500,DB-0750
1556,AW-1100,CB-2000,KC-2300,KZ-0050,AS-2000
1557,JW-1400,JB-6650,RG-0500,CS-3100,GC-0300
1558,AC-1200,JR-1600,AS-0920,MM-2600,WJ-0700
1559,JW-1400,JB-6650,RG-0500,CS-3100,JS-1400
1560,JG-3900,JB-8600,TA-1200,GW-1100,BB-1600
1561,MR-1700,FV-0100,KD-0700,DL-2400,BS-3900
1562,EM-1300,AP-0370,BM-1900,SV-0100,GW-0700
1563,DB-1100,DC-3000,AS-2700,PM-0600,BM-0360
1564,JV-0300,CC-0600,SW-1900,TB-1150,KB-0500
1565,KH-0900,TG-1700,NH-0200,LV-0100,JC-3000
1566,BM-1600,KO-0750,MB-2400,MY-0100,MO-0200
1567,RO-0400,JS-7450,MU-0400,PM-0700,BG-0500
1568,BM-1600,KO-0750,GG-0350,MY-0100,MO-0200
1569,RC-1200,ZB-0100,MR-0100,LV-0100,OF-0100
1570,CG-1250,CB-3800,EW-1600,KU-0200,EP-0300
1571,JB-8200,MS-2300,RG-0500,KL-1350,JM-4950
1572,AC-2200,CB-2000,KC-2300,KZ-0050,AS-2000
