pid,bc,dir,yds,succ,kne
671378,JA-1025,RT,3,1,0
671383,MG-1150,RG,6,1,0
671384,MG-1150,RG,5,1,0
671389,MG-1150,LG,1,0,0
671391,DW-4300,RG,5,1,0
671400,JF-1900,NL,-1,0,1
671411,MG-1150,LT,4,1,0
671413,MG-1150,LG,4,1,0
671415,MG-1150,LG,3,0,0
671417,BO-0150,LT,4,0,0
671422,JF-2800,MD,8,1,0
671423,JF-2800,LT,1,0,0
671424,JA-1025,LG,4,1,0
671435,JF-2800,LG,5,0,0
671437,JF-2800,LG,9,1,0
671438,JF-2800,RG,3,1,0
671440,JA-1025,LG,1,0,0
671445,BO-0150,RG,5,1,0
671446,BO-0150,LG,6,1,0
671448,BO-0150,LG,3,1,0
671449,PR-0300,MD,0,0,0
671451,JF-2800,LG,0,0,0
671454,JF-1900,MD,2,1,0
671455,JA-1025,RE,-7,0,0
671457,MG-1150,LG,-1,0,0
671462,JF-2800,LT,7,1,0
671463,JF-2800,LT,6,1,0
671464,JF-2800,RG,1,0,0
671466,JF-1900,MD,1,1,0
671471,DW-4300,LG,3,1,0
671473,DW-4300,LT,1,0,0
671479,JF-2800,LT,4,1,0
671482,JF-2800,RT,11,1,0
671483,JF-1900,MD,0,0,0
671486,JF-2800,LT,0,0,0
671487,JF-2800,RG,1,0,0
671490,LB-0250,MD,1,0,0
671491,LB-0250,LT,7,1,0
671496,LB-0250,MD,4,1,0
671497,LB-0250,LT,6,1,0
671498,LB-0250,LG,2,0,0
671502,LB-0250,MD,5,1,0
671510,JH-4025,LT,12,1,0
671514,AD-0100,LT,5,0,0
671523,JH-4025,MD,15,1,0
671524,JH-4025,MD,2,0,0
671530,LB-0250,MD,7,1,0
671531,LB-0250,RG,5,1,0
671533,LB-0250,MD,2,0,0
671534,LB-0250,LG,6,0,0
671538,AD-0100,RE,1,0,0
671543,DW-3600,LG,-1,0,0
671553,MJ-2250,RE,2,0,0
671555,AD-0100,MD,0,0,0
671557,DW-3600,MD,1,0,0
671570,AD-0100,NL,-1,0,1
671571,AD-0100,NL,-1,0,1
671573,JH-4025,RG,6,1,0
671576,JH-4025,RT,4,0,0
671579,DW-3600,RG,2,0,0
671580,DW-3600,LT,3,0,0
671590,DW-3600,LG,-1,0,0
671598,JH-4025,RG,4,1,0
671599,JH-4025,MD,4,1,0
671601,JH-4025,MD,4,1,0
671602,JH-4025,RG,5,1,0
671603,JH-4025,MD,-1,0,0
671606,DW-3600,LE,6,1,0
671608,DW-3600,LG,55,1,0
