pid,punter,pgro,pnet,ptb,pr,pry,pfc
658959,RQ-0050,54,-35,0,DS-3300,89,0
658965,RQ-0050,45,45,0,DS-3300,0,1
658969,DJ-2800,56,47,0,JK-1000,9,0
658973,RQ-0050,45,45,0,DS-3300,0,0
659012,DJ-2800,41,41,0,JK-1000,0,1
659019,RQ-0050,47,47,0,DS-3300,0,0
659023,DJ-2800,53,34,0,JK-1000,19,0
659034,DJ-2800,56,48,0,JK-1000,8,0
659038,RQ-0050,45,45,0,DS-3300,0,1
659042,DJ-2800,50,46,0,JK-1000,4,0
659073,DJ-2800,40,32,0,JK-1000,8,0
659083,DJ-2800,37,31,0,JK-1000,6,0
659104,SL-0400,54,50,0,BR-0050,4,0
659113,JS-1050,43,43,0,CW-4050,0,0
659130,JS-1050,28,28,0,CS-1500,0,1
659141,SL-0400,38,18,1,,0,0
659159,SL-0400,34,31,0,BR-0050,3,0
659163,JS-1050,50,43,0,CW-4050,7,0
659185,JS-1050,35,35,0,CS-1500,0,1
659206,JS-1050,55,50,0,CW-4050,5,0
659211,SL-0400,53,40,0,BR-0050,13,0
659223,SL-0400,53,30,0,BR-0050,23,0
659227,JS-1050,52,52,0,CS-1500,0,0
659237,SL-0400,34,29,0,BR-0050,5,0
659257,JS-1050,49,41,0,CS-1500,8,0
659288,JL-2250,47,47,0,KA-0650,0,1
659292,MS-0600,68,55,0,MS-1300,13,0
659304,MS-0600,37,37,0,,0,0
659311,JL-2250,30,30,0,KA-0650,0,1
659325,MS-0600,22,22,0,,0,0
659346,MS-0600,39,39,0,MS-1300,0,1
659350,JL-2250,60,60,0,KA-0650,0,0
659368,MS-0600,51,31,0,MS-1300,20,0
659377,MS-0600,46,41,0,MS-1300,5,0
659422,JL-2250,28,28,0,,0,0
659461,JH-3230,44,44,0,AB-3500,0,1
659513,JH-3230,42,22,1,,0,0
659525,JB-3275,57,45,0,TA-1050,12,0
659531,JH-3230,34,34,0,AB-3500,0,1
659536,JB-3275,51,39,0,TA-1050,12,0
659540,JH-3230,50,50,0,AB-3500,0,1
659544,JB-3275,54,34,0,TA-1050,20,0
659561,JB-3275,34,34,0,TA-1050,0,1
659581,DB-6350,32,32,0,JH-3050,0,1
659599,BP-0750,43,43,0,,0,0
659621,BP-0750,45,41,0,PP-0400,4,0
659640,BP-0750,50,50,0,PP-0400,0,0
659644,DB-6350,33,-4,0,JH-3050,37,0
659678,BP-0750,50,40,0,BG-0750,10,0
659686,DB-6350,39,39,0,,0,0
659695,DB-6350,40,20,1,,0,0
659702,BP-0750,56,56,0,,0,0
659727,BP-0750,39,39,0,BG-0750,0,1
659735,MD-0125,59,52,0,MT-0550,7,0
659750,MD-0125,47,47,0,,0,0
659767,MD-0125,46,46,0,MT-0550,0,0
659771,CS-0850,49,30,0,JL-0215,19,0
659790,MD-0125,44,44,0,,0,0
659799,CS-0850,45,45,0,JL-0215,0,1
659874,CS-0850,43,43,0,JL-0215,0,1
659907,PO-0050,52,42,0,TL-1025,10,0
659911,JR-3700,46,46,0,,0,0
659920,PO-0050,42,-22,0,RS-1000,64,0
659929,PO-0050,46,47,0,TL-1025,-1,0
659935,JR-3700,45,45,0,MM-0900,0,1
659947,PO-0050,32,32,0,,0,0
659952,JR-3700,39,39,0,,0,0
659959,PO-0050,32,32,0,,0,0
659980,PO-0050,52,52,0,TL-1025,0,1
659985,JR-3700,36,36,0,,0,0
659991,PO-0050,60,60,0,TL-1025,0,0
660004,PO-0050,43,43,0,TL-1025,0,1
660017,PO-0050,72,52,1,,0,0
660035,PO-0050,46,46,0,TL-1025,0,1
660051,SM-0650,55,47,0,ES-0200,8,0
660055,BC-2000,45,45,0,,0,0
660062,SM-0650,46,46,0,ES-0200,0,1
660070,BC-2000,31,31,0,,0,0
660089,SM-0650,66,46,1,,0,0
660146,BC-2000,37,37,0,TJ-2350,0,1
660153,SM-0650,51,51,0,,0,0
660159,BC-2000,50,50,0,,0,0
660166,SM-0650,48,43,0,ES-0200,5,0
660171,BC-2000,50,22,0,TJ-2350,28,0
660217,TM-0800,40,40,0,DT-0850,0,0
660221,DC-3200,45,38,0,MH-4000,7,0
660233,DC-3200,40,40,0,MH-4000,0,1
660252,DC-3200,50,37,0,MH-4000,13,0
660281,DC-3200,57,47,0,MH-4000,10,0
660303,DC-3200,48,48,0,MH-4000,0,0
660307,TM-0800,40,40,0,DT-0850,0,0
660311,DC-3200,61,61,0,,0,0
660317,TM-0800,46,44,0,DT-0850,2,0
660365,TM-0800,49,49,0,DT-0850,0,0
660390,TM-0800,40,24,0,DT-0850,16,0
660398,JB-3275,37,37,0,MC-0150,0,1
660402,SK-0600,57,44,0,AB-3500,13,0
660430,JB-3275,38,38,0,,0,0
660442,JB-3275,32,32,0,LW-0700,0,1
660446,SK-0600,52,52,0,AB-3500,0,1
660460,SK-0600,49,40,0,AB-3500,9,0
660489,JB-3275,40,26,0,MC-0150,14,0
660497,JB-3275,41,41,0,MC-0150,0,1
660516,JB-3275,51,51,0,,0,0
660556,SK-0600,46,17,0,AB-3500,29,0
660577,MD-0125,59,44,0,JK-1000,15,0
660587,MD-0125,48,48,0,JK-1000,0,1
660602,MD-0125,37,33,0,JK-1000,4,0
660607,RQ-0050,46,32,0,JL-0215,14,0
660611,MD-0125,29,29,0,,0,0
660637,RQ-0050,38,38,0,JL-0215,0,1
660641,MD-0125,53,42,0,JK-1000,11,0
660657,MD-0125,57,45,0,JK-1000,12,0
660697,MD-0125,39,39,0,JK-1000,0,1
660705,RQ-0050,38,10,0,JL-0215,28,0
660716,RQ-0050,51,26,0,JL-0215,25,0
660736,RQ-0050,39,39,0,,0,0
660751,PM-0300,40,40,0,NM-0250,0,0
660758,BA-0850,39,39,0,GW-0650,0,1
660785,PM-0300,45,45,0,NM-0250,0,1
660790,BA-0850,40,40,0,GW-0650,0,1
660843,BA-0850,38,32,0,GW-0650,6,0
660857,PM-0300,39,39,0,,0,0
660864,BA-0850,47,37,0,GW-0650,10,0
660879,BA-0850,44,44,0,GW-0650,0,1
660897,BA-0850,38,38,0,GW-0650,0,1
660901,PM-0300,53,50,0,BW-0400,3,0
660908,BA-0850,31,31,0,GW-0650,0,1
660912,PM-0300,57,57,0,BW-0400,0,0
660927,BA-0850,30,30,0,GW-0650,0,1
660931,PM-0300,52,38,0,BW-0400,14,0
660951,CS-0850,40,40,0,,0,0
660965,CS-0850,52,52,0,,0,0
660970,BW-2625,36,36,0,,0,0
660984,BW-2625,55,48,0,MT-0550,7,0
660995,CS-0850,57,57,0,DH-1800,0,0
661013,CS-0850,52,49,0,DH-1800,3,0
661020,BW-2625,45,45,0,MT-0550,0,0
661028,CS-0850,43,43,0,DH-1800,0,1
661032,BW-2625,44,41,0,MT-0550,3,0
661037,CS-0850,57,57,0,,0,0
661045,BW-2625,39,39,0,MT-0550,0,1
661049,CS-0850,62,47,0,DH-1800,15,0
661055,BW-2625,43,43,0,MT-0550,0,1
661077,BW-2625,48,39,0,MT-0550,9,0
661088,BW-2625,45,37,0,MT-0550,8,0
661162,BN-0700,38,18,1,,0,0
661169,JS-1050,41,41,0,TG-0900,0,0
661173,BN-0700,56,56,0,BR-0050,0,0
661206,BN-0700,39,24,0,BR-0050,15,0
661263,JS-1050,41,36,0,TG-0900,5,0
661271,BN-0700,21,21,0,BR-0050,0,1
661322,DJ-2800,41,47,0,JC-5680,-6,0
661338,DJ-2800,45,45,0,,0,0
661342,TW-1175,63,63,0,,0,0
661348,DJ-2800,38,38,0,JC-5680,0,1
661368,TW-1175,41,-4,0,DS-3300,45,0
661392,TW-1175,42,42,0,DS-3300,0,1
661413,DJ-2800,46,38,0,JC-5680,8,0
661433,TW-1175,35,15,1,,0,0
661441,DJ-2800,36,36,0,JC-5680,0,1
661445,TW-1175,40,40,0,DS-3300,0,1
661449,DJ-2800,45,25,1,,0,0
661487,MK-0760,54,54,0,,0,0
661496,SL-0150,51,47,0,TC-0385,4,0
661503,MK-0760,52,50,0,MM-0900,2,0
661510,SL-0150,46,24,0,TC-0385,22,0
661551,MK-0760,50,50,0,,0,0
661557,MK-0760,48,33,0,MM-0900,15,0
661578,SL-0150,39,32,0,AC-2350,7,0
661587,MK-0760,38,38,0,MM-0900,0,1
661642,MB-3000,46,39,0,CS-1500,7,0
661662,SL-0400,36,36,0,EW-0500,0,1
661684,SL-0400,56,45,0,EW-0500,11,0
661688,MB-3000,48,48,0,CS-1500,0,1
661700,SL-0400,42,42,0,,0,0
661718,MB-3000,38,38,0,,0,0
661748,SL-0400,60,42,0,EW-0500,18,0
661777,MB-3000,55,55,0,CS-1500,0,0
661796,MB-3000,46,30,0,CS-1500,16,0
661809,MB-3000,53,36,0,CS-1500,17,0
661866,KH-2600,67,67,0,,0,0
661901,DC-3200,62,52,0,BT-0300,10,0
661930,KH-2600,34,34,0,,0,0
661980,KH-2600,42,42,0,,0,0
661989,AL-0500,48,48,0,KA-0650,0,1
661993,MS-0600,46,36,0,TB-1060,10,0
662000,MS-0600,31,31,0,,0,0
662050,AL-0500,30,30,0,,0,0
662054,MS-0600,40,40,0,,0,0
662058,AL-0500,57,52,0,KA-0650,5,0
662094,MS-0600,22,22,0,,0,0
662114,AL-0500,57,57,0,KA-0650,0,1
662122,MS-0600,47,16,0,TB-1060,31,0
662183,BP-0750,45,45,0,,0,0
662191,TM-0800,48,42,0,JH-3050,6,0
662197,BP-0750,21,21,0,,0,0
662201,TM-0800,37,37,0,JH-3050,0,1
662205,BP-0750,59,59,0,MH-4000,0,0
662209,TM-0800,41,41,0,JH-3050,0,0
662245,BP-0750,36,27,0,MH-4000,9,0
662262,BP-0750,30,30,0,,0,0
662278,BP-0750,56,51,0,MH-4000,5,0
662285,TM-0800,27,27,0,,0,0
662292,TM-0800,49,43,0,JH-3050,6,0
662309,TM-0800,23,23,0,,0,0
662325,DB-6350,44,44,0,,0,0
662329,JH-3230,51,42,0,PP-0400,9,0
662344,JH-3230,48,48,0,PP-0400,0,1
662362,JH-3230,51,42,0,PP-0400,9,0
662388,JH-3230,57,55,0,PP-0400,2,0
662404,JH-3230,42,42,0,PP-0400,0,1
662431,JH-3230,44,44,0,PP-0400,0,0
662461,JH-3230,55,43,0,PP-0400,12,0
662479,JL-2250,42,42,0,ES-0200,0,1
662502,JL-2250,32,32,0,ES-0200,0,1
662508,BC-2000,50,50,0,,0,0
662522,JL-2250,51,51,0,ES-0200,0,1
662574,JL-2250,54,52,0,ES-0200,2,0
662579,BC-2000,43,36,0,MS-1300,7,0
662583,JL-2250,38,38,0,ES-0200,0,1
662593,BC-2000,48,48,0,,0,0
662641,TM-3300,47,47,0,CB-1130,0,1
662688,TM-3300,43,43,0,CB-1130,0,1
662698,CJ-2100,40,40,0,,0,0
662702,TM-3300,33,33,0,,0,0
662706,CJ-2100,36,36,0,MM-5750,0,1
662714,CJ-2100,40,20,0,MM-5750,20,0
662754,CJ-2100,40,32,0,MM-5750,8,0
662771,CJ-2100,53,47,0,MM-5750,6,0
662778,ZH-0150,43,43,0,CB-1130,0,1
662808,SM-0650,62,42,1,,0,0
662817,JR-3700,40,32,0,TJ-2350,8,0
662822,SM-0650,36,31,0,TL-1025,5,0
662828,JR-3700,50,41,0,TJ-2350,9,0
662834,SM-0650,44,31,0,TL-1025,13,0
662873,SM-0650,52,42,0,TL-1025,10,0
662889,SM-0650,42,42,0,TL-1025,0,0
662894,SM-0650,41,41,0,TL-1025,0,1
662905,JR-3700,32,32,0,TJ-2350,0,1
662910,SM-0650,50,36,0,TL-1025,14,0
662921,SM-0650,40,40,0,TL-1025,0,1
662933,JR-3700,65,53,0,TJ-2350,12,0
662976,SL-0400,38,35,0,GW-0650,3,0
662990,SL-0400,30,30,0,,0,0
663026,PM-0300,53,17,0,KM-3250,36,0
663051,SL-0400,55,42,0,GW-0650,13,0
663055,PM-0300,47,47,0,KM-3250,0,1
663105,PM-0300,47,36,0,KM-3250,11,0
663126,PO-0050,43,33,0,DT-0850,10,0
663130,DC-3200,54,36,0,MM-0900,18,0
663156,DC-3200,55,55,0,,0,0
663160,PO-0050,46,43,0,DT-0850,3,0
663173,PO-0050,49,45,0,DT-0850,4,0
663181,DC-3200,40,20,1,,0,0
663185,PO-0050,49,49,0,,0,0
663230,DC-3200,52,47,0,MM-0900,5,0
663236,PO-0050,48,48,0,,0,0
663240,DC-3200,45,32,0,MM-0900,13,0
663250,DC-3200,42,42,0,MM-0900,0,1
663268,DC-3200,43,43,0,MM-0900,0,1
663309,KH-2600,47,35,0,TL-1025,12,0
663314,JR-3700,44,24,1,,0,0
663325,KH-2600,49,49,0,,0,0
663334,JR-3700,62,52,0,BT-0300,10,0
663369,KH-2600,50,50,0,TL-1025,0,1
663384,KH-2600,46,46,0,,0,0
663391,JR-3700,56,41,0,AJ-1200,15,0
663396,KH-2600,51,55,0,TL-1025,-4,0
663400,JR-3700,46,11,0,AJ-1200,35,0
663412,JR-3700,50,33,0,BT-0300,17,0
663429,JR-3700,51,51,0,AJ-1200,0,1
663446,JR-3700,36,36,0,,0,0
663452,KH-2600,50,30,1,,0,0
663457,JR-3700,62,43,0,AJ-1200,19,0
663469,TW-1175,47,47,0,EW-0500,0,1
663480,TW-1175,47,47,0,,0,0
663487,MB-3000,51,41,0,JC-5680,10,0
663532,TW-1175,50,42,0,EW-0500,8,0
663575,TW-1175,57,51,0,EW-0500,6,0
663645,BA-0850,63,63,0,,0,0
663653,JS-1050,23,23,0,,0,0
663680,BA-0850,61,3,0,BR-0050,58,0
663730,JS-1050,49,41,0,NM-0250,8,0
663755,BA-0850,50,25,0,BR-0050,25,0
663770,BA-0850,47,36,0,BR-0050,11,0
663781,JS-1050,29,29,0,BW-0400,0,0
663806,BF-0300,45,25,1,,0,0
663841,BF-0300,57,57,0,,0,0
663851,BF-0300,49,49,0,DS-3300,0,1
663868,BF-0300,37,37,0,,0,0
663873,DJ-2800,50,41,0,MM-5750,9,0
663918,BF-0300,13,13,0,,0,0
663932,BF-0300,36,36,0,,0,0
663983,SK-0600,51,51,0,,0,0
663987,AL-0500,43,34,0,LW-0700,9,0
664021,AL-0500,46,29,0,JR-3270,17,0
664025,SK-0600,49,49,0,,0,0
664033,AL-0500,38,38,0,,0,0
664038,SK-0600,34,34,0,,0,0
664068,AL-0500,39,39,0,JR-3270,0,1
664103,SK-0600,51,54,0,TB-1060,-3,0
664113,SK-0600,57,57,0,,0,0
664119,AL-0500,51,34,0,JR-3270,17,0
664160,SK-0600,55,50,0,TB-1060,5,0
664177,JH-3230,43,34,0,MH-4000,9,0
664198,JH-3230,45,25,1,,0,0
664223,JH-3230,42,42,0,MH-4000,0,1
664227,TM-0800,53,33,1,,0,0
664275,JH-3230,51,51,0,MH-4000,0,0
664280,TM-0800,47,49,0,TA-1050,-2,0
664307,TM-0800,39,19,1,,0,0
664316,TM-0800,52,46,0,TA-1050,6,0
664351,BK-0700,25,25,0,DM-3100,0,1
664355,CS-0850,48,48,0,DM-1200,0,1
664362,BK-0700,37,37,0,DM-3100,0,0
664367,CS-0850,49,47,0,DM-1200,2,0
664386,CS-0850,65,51,0,DM-1200,14,0
664394,BK-0700,55,35,1,,0,0
664400,CS-0850,41,15,0,DM-1200,26,0
664404,BK-0700,31,31,0,DM-3100,0,1
664414,CS-0850,47,47,0,DM-1200,0,1
664424,CS-0850,61,46,0,DM-1200,15,0
664428,BK-0700,58,31,0,DM-3100,27,0
664483,BK-0700,45,32,0,DM-3100,13,0
664487,CS-0850,46,37,0,DM-1200,9,0
664500,DB-6350,30,30,0,TJ-2350,0,1
664512,DB-6350,34,34,0,TJ-2350,0,1
664552,SM-0650,42,42,0,,0,0
664574,SM-0650,50,40,0,PP-0400,10,0
664581,DB-6350,35,33,0,TJ-2350,2,0
664608,SM-0650,26,26,0,PP-0400,0,1
