pid,kicker,kgro,knet,ktb,kr,kry
658159,RS-3400,65,45,1,,0
658188,PM-0300,65,45,1,,0
658193,PM-0300,65,45,1,,0
658204,PM-0300,65,45,1,,0
658217,RS-3400,8,8,0,,0
658221,TC-2450,67,42,0,TJ-2400,25
658236,SJ-0300,65,45,1,,0
658283,SJ-0300,65,45,1,,0
658298,TC-2450,70,35,0,TJ-2400,35
658305,SJ-0300,67,48,0,SD-0800,19
658308,SJ-0300,65,45,1,,0
658323,SJ-0300,65,45,1,,0
658340,TC-2450,65,45,1,,0
658349,SJ-0300,65,45,1,,0
658360,TC-2450,65,45,1,,0
658374,TC-2450,65,45,1,,0
658397,MN-0800,65,45,1,,0
658420,MN-0800,65,45,1,,0
658451,MN-0800,65,45,1,,0
658484,JT-3950,68,36,0,AJ-1200,32
658504,JT-3950,65,45,1,,0
658524,JT-3950,65,45,1,,0
658544,JT-3950,65,45,1,,0
658547,MN-0800,70,44,0,MC-0150,26
658558,JT-3950,65,45,1,,0
658566,MN-0800,65,45,1,,0
658576,SG-0800,66,49,0,CG-1950,17
658587,SG-0800,65,45,1,,0
658609,SG-0800,65,45,1,,0
658629,JM-7000,65,45,1,,0
658644,SG-0800,67,43,0,CG-1950,24
658658,SG-0800,45,45,0,,0
658660,JM-7000,65,45,1,,0
658671,SG-0800,65,45,1,,0
658682,SG-0800,65,45,1,,0
658690,JM-7000,65,45,1,,0
658699,SG-0800,65,45,1,,0
658710,SG-0800,65,45,1,,0
658734,SG-0800,65,45,1,,0
658743,JM-7000,65,45,1,,0
658746,GG-0100,65,45,1,,0
658759,TM-3300,65,45,1,,0
658786,TM-3300,65,45,1,,0
658801,GG-0100,70,35,0,MM-5750,35
658820,GG-0100,53,39,0,KR-1050,14
658821,TM-3300,65,45,1,,0
658829,TM-3300,63,48,0,JW-1500,15
658840,GG-0100,70,46,0,MM-5750,24
658859,GG-0100,65,52,0,MM-5750,13
658877,GG-0100,65,45,1,,0
658889,TM-3300,65,45,1,,0
658912,CP-0575,65,47,0,ZS-0150,18
658930,CP-0575,63,25,0,,0
658961,CP-0575,57,43,0,ZS-0150,14
658983,CP-0575,68,37,0,ZS-0150,31
658993,CP-0575,63,44,0,ZS-0150,19
659004,NF-0300,52,42,0,KB-0350,10
659006,NF-0300,65,45,1,,0
659062,NF-0300,65,45,1,,0
659089,NF-0300,12,12,0,,0
659097,KB-1850,65,45,1,,0
659125,RB-4650,65,45,1,,0
659148,KB-1850,66,43,0,QD-0100,23
659169,KB-1850,71,48,0,QD-0100,23
659189,RB-4650,65,45,1,,0
659199,RB-4650,65,45,1,,0
659253,RB-4650,71,44,0,BR-0050,27
659275,RB-4650,65,45,1,,0
659282,JL-0207,73,41,0,CP-0750,32
659319,BW-0350,65,45,1,,0
659338,BW-0350,65,45,1,,0
659361,JL-0207,61,40,0,CP-0750,21
659364,BW-0350,65,45,1,,0
659371,BW-0350,65,45,1,,0
659396,BW-0350,65,45,1,,0
659409,BW-0350,80,61,0,BO-0150,19
659438,JL-0207,65,45,1,,0
659440,GZ-2000,65,45,1,,0
659454,JS-1100,65,45,1,,0
659476,JS-1100,65,45,1,,0
659497,GZ-2000,69,47,0,JT-3000,22
659504,JS-1100,69,47,0,BC-3070,22
659555,GZ-2000,65,45,1,,0
659567,JS-1100,70,44,0,BC-3070,26
659575,BP-0750,65,45,1,,0
659586,CC-1150,65,45,1,,0
659592,CC-1150,65,45,1,,0
659616,CC-1150,70,46,0,DW-2350,24
659634,CC-1150,78,48,0,DW-2350,30
659649,BP-0750,65,45,1,,0
