uid,pid,ptm,pen,desc,cat,pey,act
59007,657650,IND,TH-1500,Offensive Holding,2,10,A
59008,657659,NYJ,DD-0250,Unsportsmanlike Conduct,6,10,A
59009,657668,NYJ,BG-0500,Unnecessary Roughness,6,15,A
59010,657676,IND,JD-2550,Offensive Holding,2,10,A
59011,657683,NYJ,QC-0350,Unnecessary Roughness,6,15,A
59012,657688,IND,SP-1750,Defensive Holding,5,5,A
59013,657692,IND,JB-6500,Defensive Holding,5,0,D
59014,657694,IND,SM-2950,Illegal Block Above the Waist,7,8,A
59015,657697,NYJ,QC-0350,Roughing the Passer,6,15,A
59016,657706,NYJ,BM-0300,False Start,1,5,A
59017,657716,WAS,JR-1150,Offensive Pass Interference,2,10,A
59018,657718,NYG,RJ-0800,Running Into the Kicker,6,0,O
59019,657718,WAS,BB-2725,Player Out of Bounds on Punt,3,0,O
59020,657720,NYG,MH-2400,Offensive Holding,2,10,A
59021,657727,WAS,TP-1550,Defensive Holding,5,6,A
59022,657742,NYG,WR-0450,Offensive Holding,2,10,A
59023,657760,WAS,JJ-3200,Unnecessary Roughness,6,15,A
59024,657777,WAS,KL-1000,Offensive Holding,2,10,A
59025,657790,NYG,DH-1800,Offensive Pass Interference,2,10,A
59026,657823,NYG,JP-4350,False Start,1,5,A
59027,657824,WAS,CC-5300,Illegal Contact,5,5,A
59028,657825,NYG,MN-0400,Offensive Holding,2,10,A
59029,657837,NYG,JH-5450,Illegal Use of Hands,5,0,D
59030,657841,NYG,LC-0850,Illegal Contact,5,5,A
59031,657844,WAS,KC-2350,Delay of Game,3,5,A
59032,657852,WAS,JC-5680,Offensive Pass Interference,2,7,A
59033,657855,NYG,PA-0300,Defensive Pass Interference,5,12,A
59034,657881,NYG,JC-1800,Defensive Pass Interference,5,5,A
59035,657889,ATL,RA-0650,Face Mask,6,15,A
59036,657917,DAL,MC-1350,Defensive Holding,5,3,A
59037,657928,ATL,RS-0650,Ineligible Downfield Pass,3,5,A
