uid,pid,qb,sk,value,ydsl
20130,664291,AR-1300,RQ-0200,1,-2
20131,664295,NF-0250,JP-2000,1,-7
20132,664305,AR-1300,MB-3650,1,-3
20133,664323,NF-0250,CM-0900,1,-8
20134,664385,TT-0500,JC-1700,1,-3
20135,664393,MM-0912,MW-2300,1,-5
20136,664399,TT-0500,JC-1700,0.5,-5
20137,664399,TT-0500,DM-3600,0.5,-5
20138,664422,TT-0500,AW-1450,1,-12
20139,664454,MM-0912,KW-1600,1,-3
20140,664486,TT-0500,DM-3600,1,-11
20141,664509,CP-0500,JJ-4300,1,-6
20142,664511,CP-0500,EA-0550,1,-7
20143,664582,MS-4100,JP-4100,1,0
20144,664676,TB-2300,RM-2000,1,-9
20145,664680,BW-0850,DH-2950,1,-9
20146,664683,TB-2300,GH-0300,1,-7
20147,664714,TB-2300,GH-0300,1,0
20148,664717,TB-2300,JC-5560,1,-4
20149,664743,BW-0850,JS-2100,1,-8
20150,664746,TB-2300,TC-2950,1,-8
20151,664801,BW-0850,JS-2100,1,-7
20152,664855,DC-0725,MJ-0030,1,-5
20153,664907,DC-0725,VM-0300,1,-7
20154,664920,PM-0200,MS-2400,1,-8
20155,664939,DC-0725,SB-0225,1,-7
20156,664949,PM-0200,ME-0425,0.5,-4
20157,664949,PM-0200,AS-1500,0.5,-4
20158,664975,DC-0725,SR-0250,1,-7
20159,665013,CK-0100,DM-2950,1,-3
20160,665162,CK-0100,DM-2950,1,-3
20161,665183,MV-0300,DS-5100,1,-2
20162,665223,PR-0300,JJ-4250,1,-7
20163,665230,MV-0300,CL-1000,1,-3
20164,665254,PR-0300,BD-1200,1,-4
20165,665257,MV-0300,RM-1100,1,-4
20166,665356,MR-2500,KE-0125,1,-11
20167,665405,DB-3800,AC-1500,1,-8
20168,665477,MR-2500,CJ-2400,1,-7
20169,665478,MR-2500,HK-0100,1,-9
20170,665491,MR-2500,CJ-2400,1,-4
20171,665503,MR-2500,CJ-2400,1,-1
20172,665550,KC-2350,MW-1800,0.5,-5
20173,665550,KC-2350,SR-0670,0.5,-5
20174,665687,MV-0300,CC-0200,1,-5
20175,665770,CP-0500,JH-2100,1,-7
20176,665836,TB-2650,AB-0100,1,-5
20177,665859,AS-1600,EK-0250,1,-4
20178,665871,AS-1600,SF-0150,0.5,-7
20179,665871,AS-1600,DH-4650,0.5,-7
20180,665962,TB-2650,JH-5500,1,-7
20181,666058,EM-0250,CD-2200,0.5,0
20182,666058,EM-0250,BT-0650,0.5,0
20183,666137,EM-0250,CD-2200,1,-7
20184,666173,MS-4100,EG-0350,0.5,-7
20185,666173,MS-4100,JJ-1600,0.5,-7
20186,666224,JC-6200,BC-2350,0.5,0
20187,666224,JC-6200,JW-5300,0.5,0
20188,666324,MS-4100,PM-0500,1,-7
20189,666395,JM-2900,BM-0330,1,-5
20190,666454,JM-2900,SB-0225,1,-9
20191,666536,JM-2900,MJ-0030,1,-8
20192,666537,JM-2900,AS-2400,0.5,-2
20193,666537,JM-2900,SB-0225,0.5,-2
20194,666593,BB-2425,WM-0550,1,-7
20195,666662,BH-1900,MB-2050,0.5,-6
20196,666662,BH-1900,DS-2200,0.5,-6
20197,666712,BB-2425,WM-0550,1,0
20198,666730,BB-2425,JS-3250,1,-8
20199,666775,MM-0912,CW-0100,1,-7
20200,666779,MM-0912,CW-0100,1,0
20201,666786,MM-0912,CW-0100,1,-11
20202,666804,MM-0912,OV-0200,1,-12
20203,666818,MM-0912,CW-0100,1,-7
20204,666848,RT-0150,BO-0400,1,-2
20205,666859,RT-0150,WW-0900,1,-10
20206,666899,ZM-0150,JK-1950,1,-9
20207,666907,CN-0500,BI-0150,1,-8
20208,666948,RW-3850,WH-0850,1,-3
20209,666968,RW-3850,KS-0850,1,-6
20210,667019,CN-0500,MM-5200,1,-4
20211,667027,RW-3850,TD-0700,1,-10
20212,667054,RW-3850,KS-0850,1,-3
