uid,pid,tck,value
432062,653701,KM-1950,1
432063,653702,CC-0200,1
432064,653704,CC-0200,1
432065,653705,DB-5450,1
432066,653706,TM-0850,1
432067,653710,CJ-2400,1
432068,653712,DB-3750,1
432069,653713,DS-5137,1
432070,653717,KM-1950,1
432071,653721,AO-0370,1
432072,653722,SW-0700,0.5
432073,653722,DB-5450,0.5
432074,653724,HK-0100,1
432075,653725,RH-3300,1
432076,653726,JJ-1650,1
432077,653727,DS-5137,1
432078,653733,JP-4100,1
432079,653734,CC-0200,0.5
432080,653734,SW-0700,0.5
432081,653735,AO-0370,1
432082,653736,SW-0700,1
432083,653740,CC-0200,1
432084,653741,TJ-0950,1
432085,653742,CR-0500,1
432086,653743,DB-5450,1
432087,653744,TM-0850,1
432088,653748,DH-2000,0.5
432089,653748,SA-1150,0.5
432090,653752,LW-1600,1
432091,653753,TJ-0950,1
432092,653755,JP-4100,1
432093,653756,DB-5450,1
432094,653760,DS-5137,1
432095,653761,DB-3750,1
432096,653762,DS-5137,1
432097,653765,SA-1150,1
432098,653767,TM-0850,1
432099,653768,FR-0200,0.5
