uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
96234,4108,672414,IND,13,KOFF,4,3,40,14,8,6,0,4,0,0,1,86,7,6,0,0,86,TD
96235,4108,672424,CAR,13,KOFF,4,2,23,20,3,1,0,0,0,15,3,0,0,0,0,10,5,PUNT
96236,4108,672429,IND,14,PUNT,4,2,14,43,8,5,0,4,0,0,0,57,8,6,0,0,57,TD
96237,4108,672439,CAR,14,KOFF,4,0,25,20,3,1,0,0,0,7,2,0,1,0,0,0,7,PUNT
96238,4108,672443,IND,15,PUNT,4,2,2,40,16,7,0,4,0,12,2,42,13,5,0,0,54,FG
96239,4108,672460,IND,16,KOFF,5,2,56,45,6,2,1,0,0,17,3,6,2,1,0,0,23,FG
96240,4108,672467,CAR,15,KOFF,5,4,14,20,9,3,0,3,0,2,2,55,6,4,0,0,57,FG
96241,4108,672477,IND,17,KOFF,5,0,48,29,2,0,0,0,0,2,1,0,1,0,0,0,2,INT
96242,4108,672479,CAR,16,INT,5,2,2,61,4,0,0,0,0,0,0,5,3,1,0,0,5,FG
96243,4109,672484,CLE,1,KOFF,1,2,39,20,6,1,0,1,0,5,2,9,4,1,0,5,9,PUNT
96244,4109,672492,CIN,1,PUNT,1,5,13,37,10,5,2,2,0,16,5,47,5,4,0,0,63,TD
96245,4109,672504,CLE,2,KOFF,1,7,2,20,14,7,2,3,0,26,6,45,7,5,0,0,71,FG
96246,4109,672519,CIN,2,KOFF,1,2,14,15,3,1,0,0,0,7,2,-7,1,0,0,0,0,PUNT
96247,4109,672523,CLE,3,PUNT,2,1,36,42,3,0,0,0,0,0,1,4,2,1,0,0,4,PUNT
96248,4109,672527,CIN,3,PUNT,2,6,42,20,14,6,2,3,2,32,6,30,8,5,18,0,80,TD
96249,4109,672544,CLE,4,KOFF,2,4,15,8,10,7,2,3,0,22,5,70,5,4,0,0,92,TD
96250,4109,672556,CIN,4,KOFF,2,0,19,20,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
96251,4109,672558,CIN,5,KOFF,3,3,45,20,6,2,0,2,0,12,2,20,4,3,0,0,32,PUNT
96252,4109,672565,CLE,5,PUNT,3,2,13,12,3,0,0,0,0,7,2,7,1,1,0,5,9,PUNT
96253,4109,672570,CIN,6,PUNT,3,4,57,51,9,7,1,1,0,17,6,22,2,2,0,0,39,FG
96254,4109,672580,CLE,6,KOFF,3,1,8,20,3,1,0,0,0,0,0,6,3,1,0,0,6,PUNT
96255,4109,672584,CIN,7,PUNT,3,4,31,9,8,6,2,2,0,44,5,47,3,3,0,0,91,TD
96256,4109,672594,CLE,7,KOFF,4,1,48,20,3,0,0,0,0,0,0,-13,3,0,0,0,-13,PUNT
96257,4109,672598,CIN,8,PUNT,4,3,55,42,8,6,2,2,0,25,5,33,3,2,0,0,58,TD
96258,4109,672608,CLE,8,KOFF,4,0,33,24,3,0,0,0,0,0,0,0,3,0,0,0,0,PUNT
96259,4109,672612,CIN,9,PUNT,4,3,43,23,6,2,0,1,0,2,3,27,3,2,0,0,29,BLPU
96260,4109,672619,CLE,9,BLPU,4,2,43,63,9,2,0,2,0,9,1,16,8,2,0,0,25,DWNS
96261,4109,672628,CIN,10,DWNS,4,0,44,12,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
