pid,fum,frcv,fry,forc
656009,WM-0800,JC-3100,0,
656089,DL-1700,CG-1700,29,PB-0750
656168,TT-0500,TT-0500,0,AB-2700
656169,TT-0500,LM-1000,0,JC-3550
656204,PH-0400,,0,BF-0600
656210,TB-2300,PB-0750,0,JH-5900
656231,KA-0650,EL-0060,0,
656251,JH-4025,DB-6300,1,DB-6300
656254,PR-0300,CC-0900,0,WG-0600
656314,JH-4025,JW-5100,0,
656395,TW-1350,JH-0100,0,KD-0100
656420,MM-0912,CK-0850,0,JH-5950
656479,JM-0850,MS-0550,0,WW-0900
656493,JM-0850,DJ-1850,0,DM-3600
656530,MM-0912,DM-1200,0,KW-1550
656534,MM-0912,RS-2800,0,AB-3850
656653,EM-0200,PS-0600,0,KB-1100
656672,EM-0200,LD-0650,0,VB-0075
656712,NF-0250,NF-0250,0,
656803,MJ-2275,TM-1750,0,RQ-0200
656832,TM-0650,SB-0070,0,RK-0500
657017,RT-0150,JF-3000,0,JO-0300
657046,KA-0400,CL-1300,0,TC-0385
657327,TR-0800,FC-0400,0,JH-3675
657366,GE-0250,MJ-0600,34,BM-0600
657367,SB-1100,NH-0900,0,
657453,JS-6200,KW-2500,0,KW-2500
657540,JE-0350,JE-0350,0,GG-0335
657556,FJ-0100,MH-4000,0,
657633,AL-1100,DR-1100,1,DH-1400
657659,FG-0200,DR-1100,0,
657701,BP-1200,BP-1200,0,DJ-0500
657739,DH-1800,OD-0200,0,
657846,MJ-2275,,0,TW-0130
657863,CT-1220,,0,UU-0100
658127,AL-1100,AL-1100,0,KK-1000
658358,JM-2900,MS-0550,0,KM-0050
658365,AC-2350,JH-5950,0,CK-0850
658379,TB-1060,NB-0050,0,
658455,AL-0650,AL-0650,0,CP-0800
658542,AD-0100,CM-3250,41,ED-1000
658623,BB-2425,TG-0600,0,JC-3550
658849,BW-0700,RH-0700,1,TD-0700
